regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;2021-01-01;53;210147125;7700578;24605;195411;462;6756284;748883;
Brasil;;;76;;;;2021-01-02;53;210147125;7716405;15827;195725;314;6769420;751260;
Brasil;;;76;;;;2021-01-03;1;210147125;7733746;17341;196018;293;6813008;724720;
Brasil;;;76;;;;2021-01-04;1;210147125;7753752;20006;196561;543;6875230;681961;
Brasil;;;76;;;;2021-01-05;1;210147125;7810400;56648;197732;1171;6963407;649261;
Brasil;;;76;;;;2021-01-06;1;210147125;7873830;63430;198974;1242;7036530;638326;
Brasil;;;76;;;;2021-01-07;1;210147125;7961673;87843;200498;1524;7096931;664244;
Brasil;;;76;;;;2021-01-08;1;210147125;8013708;52035;201460;962;7114474;697774;
Brasil;;;76;;;;2021-01-09;1;210147125;8075998;62290;202631;1171;7144011;729356;
Brasil;;;76;;;;2021-01-10;2;210147125;8105790;29792;203100;469;7167651;735039;
Brasil;;;76;;;;2021-01-11;2;210147125;8131612;25822;203580;480;7207483;720549;
Brasil;;;76;;;;2021-01-12;2;210147125;8195637;64025;204690;1110;7273707;717240;
Brasil;;;76;;;;2021-01-13;2;210147125;8256536;60899;205964;1274;7277195;713752;
Brasil;;;76;;;;2021-01-13;2;210147125;8256536;0;205964;0;7316944;733628;
Brasil;;;76;;;;2021-01-14;2;210147125;8324294;67758;207095;1131;7339703;777496;
Brasil;;;76;;;;2021-01-15;2;210147125;8393492;69198;208246;1151;7361379;823867;
Brasil;;;76;;;;2021-01-16;2;210147125;8455059;61567;209296;1050;7388784;856979;
Brasil;;;76;;;;2021-01-17;3;210147125;8488099;33040;209847;551;7411654;866598;
Brasil;;;76;;;;2021-01-18;3;210147125;8511770;23671;210299;452;7452047;849424;
Brasil;;;76;;;;2021-01-19;3;210147125;8573864;62094;211491;1192;7518846;843527;
Brasil;;;76;;;;2021-01-20;3;210147125;8638249;64385;212831;1340;7564622;860796;
Brasil;;;76;;;;2021-01-21;3;210147125;8697368;59119;214147;1316;7580741;902480;
Brasil;;;76;;;;2021-01-22;3;210147125;8753920;56552;215243;1096;7594771;943906;
Brasil;;;76;;;;2021-01-23;3;210147125;8816254;62334;216445;1202;7628438;971371;
Brasil;;;76;;;;2021-01-24;4;210147125;8844577;28323;217037;592;7653770;973770;
Brasil;;;76;;;;2021-01-25;4;210147125;8871393;26816;217664;627;7709602;944127;
Brasil;;;76;;;;2021-01-26;4;210147125;8933356;61963;218878;1214;7798655;915823;
Brasil;;;76;;;;2021-01-27;4;210147125;8996876;63520;220161;1283;7877337;899378;
Brasil;;;76;;;;2021-01-28;4;210147125;9058687;61811;221547;1386;7923794;913346;
Brasil;;;76;;;;2021-01-29;4;210147125;9118513;59826;222666;1119;7960643;935204;
Brasil;;;76;;;;2021-01-30;4;210147125;9176975;58462;223945;1279;7998246;954784;
Brasil;;;76;;;;2021-01-31;5;210147125;9204731;27756;224504;559;8027042;953185;
Brasil;;;76;;;;2021-02-01;5;210147125;9229322;24591;225099;595;8077967;926256;
Brasil;;;76;;;;2021-02-02;5;210147125;9283418;54096;226309;1210;8160929;896180;
Brasil;;;76;;;;2021-02-03;5;210147125;9339420;56002;227563;1254;8236864;874993;
Brasil;;;76;;;;2021-02-04;5;210147125;9396293;56873;228795;1232;8291763;875735;
Brasil;;;76;;;;2021-02-05;5;210147125;9447165;50872;230034;1239;8326798;890333;
Brasil;;;76;;;;2021-02-06;5;210147125;9497795;50630;231012;978;8363677;903106;
Brasil;;;76;;;;2021-02-07;6;210147125;9524640;26845;231534;522;8397187;895919;
Brasil;;;76;;;;2021-02-08;6;210147125;9548079;23439;232170;636;8447645;868264;
Brasil;;;76;;;;2021-02-09;6;210147125;9599565;51486;233520;1350;8523462;842583;
Brasil;;;76;;;;2021-02-10;6;210147125;9659167;59602;234850;1330;8596130;828187;
Brasil;;;76;;;;2021-02-11;6;210147125;9713909;54742;236201;1351;8643693;834015;
Brasil;;;76;;;;2021-02-12;6;210147125;9765455;51546;237489;1288;8678327;849639;
Brasil;;;76;;;;2021-02-13;6;210147125;9809754;44299;238532;1043;8710840;860382;
Brasil;;;76;;;;2021-02-14;7;210147125;9834513;24759;239245;713;8745424;849844;
Brasil;;;76;;;;2021-02-15;7;210147125;9866710;32197;239773;528;8805239;821698;
Brasil;;;76;;;;2021-02-16;7;210147125;9921981;55271;240940;1167;8883191;797850;
